LA_0023;DF_E_2000011;nocodec;asvspoof;A14;spoof;notrim;progress;traditional_vocoder;-;-;-;-;DF_E_2000011
TEF2;DF_E_2000013;low_m4a;vcc2020;Task1-team20;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team20;FF;E;DF_E_2000013
TGF1;DF_E_2000024;mp3m4a;vcc2020;Task2-team12;spoof;notrim;eval;traditional_vocoder;Task2;team12;FF;G;DF_E_2000024
LA_0043;DF_E_2000026;mp3m4a;asvspoof;A09;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000026
LA_0021;DF_E_2000027;mp3m4a;asvspoof;A12;spoof;notrim;eval;neural_vocoder_autoregressive;-;-;-;-;DF_E_2000027
VCC2TM2;DF_E_2000028;low_mp3;vcc2018;SPO-N12;spoof;notrim;eval;traditional_vocoder;SPO;N12;FM;-;DF_E_2000028
LA_0025;DF_E_2000031;high_m4a;asvspoof;A10;spoof;notrim;eval;neural_vocoder_autoregressive;-;-;-;-;DF_E_2000031
TMF1;DF_E_2000032;high_m4a;vcc2020;Task2-team29;spoof;notrim;eval;neural_vocoder_autoregressive;Task2;team29;MF;M;DF_E_2000032
VCC2TM1;DF_E_2000040;low_m4a;vcc2018;SPO-B01;spoof;notrim;eval;traditional_vocoder;SPO;B01;MM;-;DF_E_2000040
VCC2TM2;DF_E_2000042;low_m4a;vcc2018;HUB-N06;spoof;notrim;eval;traditional_vocoder;HUB;N06;FM;-;DF_E_2000042
TEM2;DF_E_2000044;nocodec;vcc2020;Task1-team09;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team09;MM;E;DF_E_2000044
VCC2TM1;DF_E_2000048;high_m4a;vcc2018;SPO-N10;spoof;notrim;eval;neural_vocoder_autoregressive;SPO;N10;FM;-;DF_E_2000048
LA_0032;DF_E_2000049;mp3m4a;asvspoof;A10;spoof;notrim;eval;neural_vocoder_autoregressive;-;-;-;-;DF_E_2000049
VCC2TM2;DF_E_2000053;mp3m4a;vcc2018;-;bonafide;notrim;eval;bonafide;-;-;-;-;DF_E_2000053
LA_0036;DF_E_2000055;high_ogg;asvspoof;A17;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000055
LA_0048;DF_E_2000058;mp3m4a;asvspoof;-;bonafide;notrim;eval;bonafide;-;-;-;-;DF_E_2000058
TEM2;DF_E_2000072;high_ogg;vcc2020;Task1-team11;spoof;notrim;eval;neural_vocoder_autoregressive;Task1;team11;MM;E;DF_E_2000072
LA_0046;DF_E_2000075;high_m4a;asvspoof;A18;spoof;notrim;progress;traditional_vocoder;-;-;-;-;DF_E_2000075
TEM2;DF_E_2000079;high_m4a;vcc2020;-;bonafide;notrim;eval;bonafide;-;-;-;-;DF_E_2000079
VCC2TM2;DF_E_2000080;nocodec;vcc2018;HUB-N12;spoof;notrim;eval;traditional_vocoder;HUB;N12;FM;-;DF_E_2000080
TGF1;DF_E_2000091;low_m4a;vcc2020;Task2-team16;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task2;team16;MF;G;DF_E_2000091
VCC2TF1;DF_E_2000096;high_ogg;vcc2018;SPO-N11;spoof;notrim;eval;traditional_vocoder;SPO;N11;FF;-;DF_E_2000096
TEM2;DF_E_2000100;high_m4a;vcc2020;Task1-team18;spoof;notrim;eval;unknown;Task1;team18;FM;E;DF_E_2000100
LA_0026;DF_E_2000102;high_m4a;asvspoof;A09;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000102
LA_0008;DF_E_2000106;low_ogg;asvspoof;A10;spoof;notrim;eval;neural_vocoder_autoregressive;-;-;-;-;DF_E_2000106
LA_0028;DF_E_2000115;mp3m4a;asvspoof;A08;spoof;notrim;eval;neural_vocoder_nonautoregressive;-;-;-;-;DF_E_2000115
TEF1;DF_E_2000117;oggm4a;vcc2020;Task1-team33;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team33;FF;E;DF_E_2000117
VCC2TF2;DF_E_2000123;nocodec;vcc2018;HUB-D04;spoof;notrim;eval;traditional_vocoder;HUB;D04;FF;-;DF_E_2000123
TMM1;DF_E_2000125;nocodec;vcc2020;Task2-team24;spoof;notrim;eval;neural_vocoder_autoregressive;Task2;team24;MM;M;DF_E_2000125
TGM1;DF_E_2000126;high_mp3;vcc2020;Task2-team07;spoof;notrim;eval;neural_vocoder_autoregressive;Task2;team07;FM;G;DF_E_2000126
LA_0046;DF_E_2000127;mp3m4a;asvspoof;A09;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000127
VCC2TM2;DF_E_2000128;nocodec;vcc2018;HUB-D04;spoof;notrim;eval;traditional_vocoder;HUB;D04;MM;-;DF_E_2000128
TMF1;DF_E_2000132;low_mp3;vcc2020;Task2-team02;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task2;team02;MF;M;DF_E_2000132
LA_0018;DF_E_2000137;oggm4a;asvspoof;A17;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000137
VCC2TM1;DF_E_2000142;oggm4a;vcc2018;HUB-N11;spoof;notrim;eval;traditional_vocoder;HUB;N11;FM;-;DF_E_2000142
LA_0034;DF_E_2000143;low_mp3;asvspoof;A11;spoof;notrim;progress;traditional_vocoder;-;-;-;-;DF_E_2000143
VCC2TF2;DF_E_2000147;nocodec;vcc2018;SPO-N03;spoof;notrim;eval;unknown;SPO;N03;MF;-;DF_E_2000147
TEM2;DF_E_2000151;low_mp3;vcc2020;Task1-team20;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team20;MM;E;DF_E_2000151
VCC2TF1;DF_E_2000154;high_ogg;vcc2018;HUB-N10;spoof;notrim;eval;neural_vocoder_autoregressive;HUB;N10;MF;-;DF_E_2000154
TMF1;DF_E_2000160;nocodec;vcc2020;Task2-team09;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task2;team09;MF;M;DF_E_2000160
VCC2TF2;DF_E_2000162;mp3m4a;vcc2018;HUB-N18;spoof;notrim;eval;traditional_vocoder;HUB;N18;MF;-;DF_E_2000162
TEM1;DF_E_2000165;mp3m4a;vcc2020;Task1-team19;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team19;FM;E;DF_E_2000165
TMF1;DF_E_2000177;low_ogg;vcc2020;Task2-team12;spoof;notrim;eval;traditional_vocoder;Task2;team12;FF;M;DF_E_2000177
LA_0023;DF_E_2000179;nocodec;asvspoof;A19;spoof;notrim;progress;traditional_vocoder;-;-;-;-;DF_E_2000179
LA_0040;DF_E_2000180;high_m4a;asvspoof;A16;spoof;notrim;eval;waveform_concatenation;-;-;-;-;DF_E_2000180
TEM2;DF_E_2000182;high_m4a;vcc2020;Task1-team23;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team23;MM;E;DF_E_2000182
VCC2TF2;DF_E_2000183;high_mp3;vcc2018;HUB-N10;spoof;notrim;eval;neural_vocoder_autoregressive;HUB;N10;MF;-;DF_E_2000183
VCC2TM2;DF_E_2000193;low_ogg;vcc2018;SPO-N18;spoof;notrim;eval;traditional_vocoder;SPO;N18;FM;-;DF_E_2000193
VCC2TM1;DF_E_2000199;high_mp3;vcc2018;SPO-N06;spoof;notrim;eval;traditional_vocoder;SPO;N06;MM;-;DF_E_2000199
VCC2TM1;DF_E_2000200;low_m4a;vcc2018;HUB-N10;spoof;notrim;eval;neural_vocoder_autoregressive;HUB;N10;FM;-;DF_E_2000200
LA_0014;DF_E_2000201;high_ogg;asvspoof;A11;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000201
TEF2;DF_E_2000207;high_mp3;vcc2020;Task1-team27;spoof;notrim;eval;neural_vocoder_nonautoregressive;Task1;team27;MF;E;DF_E_2000207
TMF1;DF_E_2000211;high_mp3;vcc2020;Task2-team11;spoof;notrim;eval;neural_vocoder_autoregressive;Task2;team11;FF;M;DF_E_2000211
LA_0008;DF_E_2000212;mp3m4a;asvspoof;A17;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000212
VCC2TM2;DF_E_2000213;high_m4a;vcc2018;SPO-N13;spoof;notrim;eval;traditional_vocoder;SPO;N13;MM;-;DF_E_2000213
TEM1;DF_E_2000216;high_m4a;vcc2020;Task1-team12;spoof;notrim;eval;traditional_vocoder;Task1;team12;MM;E;DF_E_2000216
VCC2TF2;DF_E_2000218;oggm4a;vcc2018;HUB-D02;spoof;notrim;eval;traditional_vocoder;HUB;D02;MF;-;DF_E_2000218
TFF1;DF_E_2000223;low_m4a;vcc2020;Task2-team12;spoof;notrim;eval;traditional_vocoder;Task2;team12;FF;F;DF_E_2000223
LA_0008;DF_E_2000228;low_ogg;asvspoof;A13;spoof;notrim;eval;traditional_vocoder;-;-;-;-;DF_E_2000228
VCC2TF1;DF_E_2000237;nocodec;vcc2018;HUB-D03;spoof;notrim;eval;traditional_vocoder;HUB;D03;FF;-;DF_E_2000237
